16600;26900;7400;1300;67800;9000;40300;24000;8000;241800
47300;66800;34700;8200;237500;42600;160900;29200;36000;456100
31700;6600;2700;0;49400;5500;22100;13400;3300;487300
3300;5300;0;0;13800;600;19500;10800;400;34000
6000;21200;1600;600;18800;400;21500;9500;2700;168100
13200;5100;1400;0;13900;10500;28500;7800;700;25100
14800;18300;5000;0;46300;1800;37500;15900;13300;103300
2900;33100;4800;2400;50500;6700;33100;25000;8500;113200
-400;28700;0;1100;61000;15000;49300;9600;3300;-57200
2600;13500;10100;800;39400;-600;29300;20800;7100;39300
5000;2500;-500;0;7000;1200;21000;12600;600;25800
9600;19600;500;0;41800;1400;12700;9000;1200;51700
46800;224000;53200;39900;222000;17600;91400;14400;125800;660900
5200;2700;0;600;15200;1200;17100;5900;2000;52400
20200;2900;0;0;12800;1200;16500;10700;1100;15700
7300;23000;-600;400;38300;15000;28500;17300;9500;62700
15600;12200;4600;1700;42900;10700;42900;11700;11300;175800
9100;41300;2600;2900;70600;21000;15200;12500;16300;98600
0;3300;0;0;1600;0;18300;5900;500;6500
74000;69700;200;9700;119300;24900;111100;33200;29900;1254200
18800;10100;2300;1300;28800;1200;22600;13900;5200;24900
7700;25700;-5000;3600;62900;9000;38200;18600;400;116500
1300;8600;0;600;23300;6000;23200;8000;6800;44200
4500;6000;6900;1800;4900;31100;-1500;9900;8200;67400
24300;12800;500;1200;17400;600;10900;19000;500;49300
9000;33400;0;1500;33900;-1800;18300;11200;11900;97000
6200;-300;-1800;600;24400;6500;15100;11400;1300;54000
6500;15400;5100;0;34400;18400;28000;7800;9100;98400
10900;8400;1500;0;17500;12400;34400;11800;2600;65400
19200;23600;5000;2300;56900;21300;36800;13300;18000;424900
